system,eer_env_test,eer_speech_test,is_reference_baseline,source
WHU (LaMSep-DF),0.0869,0.1171,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
HKUST(GZ) (GLADSE),0.0926,0.0896,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
JAIST_1 (MIF),0.11,0.1562,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
IITJ (CompMulTask),0.1126,0.1587,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
XHU (CAFM-MTL),0.1228,0.1053,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
SIT (CompEnsFusion),0.1263,0.2164,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
SCISTOR (HeteroSSL-Fus),0.1594,0.301,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
JAIST_2 (EAT-XLSR-MTL),0.1703,0.2604,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
JAIST_3 (XLSR+BEATs+MH),0.1883,0.3298,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
NBU (Feature Decomp.),0.2853,0.2307,0,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
reference baseline,0.4279,0.1978,1,"ESDD2 overview, Table IV, test column, arXiv:2606.10791v2"
