id,printed,recomputed_unrounded,recomputed_rounded,match,note
s2_containment,0.0,0.0,0.0,yes,upper bound
s2_attainment,1.0,5.551115123125783e-05,0.0,yes,upper bound
s2_witness_pooled,0.4336,0.43361689365142697,0.4336,yes,equal at 4 dp
s2_witness_comp,0.0000,0.0,0.0000,yes,equal at 4 dp
fig2_area_roc,0.8740,0.8740471542433768,0.8740,yes,equal at 4 dp
fig2_area_r0,0.7130,0.712983084783209,0.7130,yes,equal at 4 dp
fig2_area_ac,0.1611,0.16106406946016769,0.1611,yes,equal at 4 dp
s41_step_gap,4,2.938875168388977,3,yes,upper bound
s41_eval,27605,27605.0,27605,yes,equal at 0 dp
s41_sr,16,16.0,16,yes,equal at 0 dp
s41_seeds,3,3.0,3,yes,equal at 0 dp
t1_max_sd,0.0015,0.0015,0.0015,yes,equal at 4 dp
t1_head_c_mid,0.5,0.5,0.5,yes,equal at 1 dp
t1_beats_c0,0.5382,0.5381910522152452,0.5382,yes,equal at 4 dp
t1_beats_c05,0.1412,0.1411868091577938,0.1412,yes,equal at 4 dp
t1_beats_spread,0.3970,0.3970042430574514,0.3970,yes,equal at 4 dp
t1_eat_c0,0.5400,0.5399753633156226,0.5400,yes,equal at 4 dp
t1_ref_comp,0.2090,0.2089891109115402,0.2090,yes,equal at 4 dp
t1a_beats_01,0.9240,0.9239953730728933,0.9240,yes,equal at 4 dp
t1a_beats_11,0.9169,0.9168903672207872,0.9169,yes,equal at 4 dp
t1a_beats_02,0.7032,0.7031628030983385,0.7032,yes,equal at 4 dp
t1a_beats_w,0.9159,0.9159086832061069,0.9159,yes,equal at 4 dp
t1a_eat_01,0.8859,0.8859293874419997,0.8859,yes,equal at 4 dp
t1a_eat_11,0.8487,0.8486544568124709,0.8487,yes,equal at 4 dp
t1a_eat_02,0.5522,0.5521886974255352,0.5522,yes,equal at 4 dp
t1a_eat_w,0.8435,0.8435042564735817,0.8435,yes,equal at 4 dp
t1a_attn_01,0.9248,0.9248095625654843,0.9248,yes,equal at 4 dp
t1a_attn_11,0.5760,0.5759815980463433,0.5760,yes,equal at 4 dp
t1a_attn_02,0.7081,0.7081426636380108,0.7081,yes,equal at 4 dp
t1a_attn_w,0.5278,0.5277847571471336,0.5278,yes,equal at 4 dp
t1a_twoenc_01,0.9268,0.9267991225116,0.9268,yes,equal at 4 dp
t1a_twoenc_11,0.5544,0.5544346908234318,0.5544,yes,equal at 4 dp
t1a_twoenc_02,0.7465,0.7465489447687471,0.7465,yes,equal at 4 dp
t1a_twoenc_w,0.5030,0.5029858647657536,0.5030,yes,equal at 4 dp
t1a_ref_01,0.8740,0.8740471542433768,0.8740,yes,equal at 4 dp
t1a_ref_11,0.1611,0.16106406946016769,0.1611,yes,equal at 4 dp
t1a_ref_02,0.6526,0.6525852043107319,0.6526,yes,equal at 4 dp
t1a_ref_w,0.0626,0.06255266614279281,0.0626,yes,equal at 4 dp
t1a_tmax,0.2,0.2,0.2,yes,equal at 1 dp
t1a_identity,1.0,0.11102230246251565,0.1,yes,upper bound
s42_spread_max,0.3970,0.3970042430574514,0.3970,yes,equal at 4 dp
s42_beats_c0,0.5382,0.5381910522152452,0.5382,yes,equal at 4 dp
s42_eat_c0,0.5400,0.5399753633156226,0.5400,yes,equal at 4 dp
s42_c_mid,0.5,0.5,0.5,yes,equal at 1 dp
s42_twoenc_bound,0.026,0.026,0.026,yes,equal at 3 dp
s42_mindcf_pooled,0.9994,0.9994117647058823,0.9994,yes,equal at 4 dp
s42_mindcf_comp,0.5865,0.5864902334979794,0.5865,yes,equal at 4 dp
s42_mindcf_resid,0.19,0.1931193166306151,0.19,yes,equal at 2 dp
s42_auc_resid,1.0,0.0,0.0,yes,upper bound
s43_env_comp,0.2090,0.2089891109115402,0.2090,yes,equal at 4 dp
s43_speech_comp,0.1906,0.19057251408358442,0.1906,yes,equal at 4 dp
s43_env_dist,0.2246,0.22462990908131947,0.2246,yes,equal at 4 dp
s43_speech_dist,0.0087,0.008743385723876035,0.0087,yes,equal at 4 dp
s43_total,0.2343,0.23430312018539923,0.2343,yes,equal at 4 dp
s43_pooling_net,0.2159,0.21588652335744343,0.2159,yes,equal at 4 dp
s43_pooling_pct,92,92.1398414099722,92,yes,lower bound
s44a_cross,0.125,0.12479472479558787,0.125,yes,equal at 3 dp
s44a_cross_again,0.125,0.12479472479558787,0.125,yes,equal at 3 dp
s44a_w0_over_wa,1.138,1.138167938931298,1.138,yes,equal at 3 dp
s44a_span01,0.053,0.05275196826822326,0.053,yes,equal at 3 dp
s44a_span_alarm,0.706,0.7058780789311029,0.706,yes,equal at 3 dp
s44a_eat_02,0.5522,0.5521886974255352,0.5522,yes,equal at 4 dp
s44a_ref_02,0.6526,0.6525852043107319,0.6526,yes,equal at 4 dp
s44a_n_cross,5,5.0,5,yes,equal at 0 dp
s45_gate_threshold,0.5,0.5,0.5,yes,equal at 1 dp
s45_lam_env,0.0026,0.002629416598192276,0.0026,yes,equal at 4 dp
s45_lam_sp,0.0015,0.0015084378240784388,0.0015,yes,equal at 4 dp
s45_eer_gated_env,0.2028,0.20282710563118356,0.2028,yes,equal at 4 dp
s45_eer_gated_sp,0.1892,0.18922281082789139,0.1892,yes,equal at 4 dp
s45_eer_ann_env,0.2090,0.2089891109115402,0.2090,yes,equal at 4 dp
s45_eer_ann_sp,0.1906,0.19057251408358442,0.1906,yes,equal at 4 dp
s45_err_gated_env,0.0062,0.006162005280356653,0.0062,yes,equal at 4 dp
s45_err_gated_sp,0.0013,0.00134970325569303,0.0013,yes,equal at 4 dp
s45_pooled_env,0.4336,0.4336190199928597,0.4336,yes,equal at 4 dp
s45_pooled_sp,0.1993,0.19931589980746045,0.1993,yes,equal at 4 dp
s45_err_pool_env,0.2246,0.22462990908131947,0.2246,yes,equal at 4 dp
s45_err_pool_sp,0.0087,0.008743385723876035,0.0087,yes,equal at 4 dp
s45_acds_err_env,0.0050,0.005018345539116287,0.0050,yes,equal at 4 dp
s45_acds_err_sp,0.0006,0.0006191351627258257,0.0006,yes,equal at 4 dp
s45_rho_env,0.0734,0.07343511450381679,0.0734,yes,equal at 4 dp
s45_rho_sp,0.0565,0.05648106904231631,0.0565,yes,equal at 4 dp
s45_corrected_env,0.0066,0.006579192029979919,0.0066,yes,equal at 4 dp
